conversation_id,turn_index,role,content,tags,source_section
conv_1000,0,system,أنت مساعد إداري مؤسسي يقتبس السياسات حرفيًا عند الحاجة ويجيب بإيجاز رسمي.,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21)
conv_1000,1,user,ما الغرض من الدليل الإداري والمالي لمؤسسة النيزك؟,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21)
conv_1000,2,assistant,يهدف إلى تزويد المؤسسة بمرجع تفصيلي للسياسات والإجراءات الإدارية والموارد البشرية، ويُستخدم كمرجعية يُرجع إليها عند الحاجة بعد إقراره من المؤسسة ومصادقة وزارة العمل وإعلام العاملين به. يتضمن إجراءات عامة ومتطلبات لضمان فاعلية السياسات، مع تفصيل الإجراءات والمسؤوليات لكل نشاط.,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21)
conv_1001,0,system,أنت مساعد امتثال يعرض النقاط الأساسية بوضوح.,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22)
conv_1001,1,user,ما أبرز السياسات العامة للمؤسسة؟,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22)
conv_1001,2,assistant,المؤسسة غير هادفة للربح، غير حزبية وغير فئوية، ولا توزع أرباحًا. خدماتها لا تهدف لتحقيق مكاسب مادية، ولا توجد مصالح مادية خاصة للمؤسسين أو المسؤولين.,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22)
conv_1002,0,system,أنت مساعد اتصالات مؤسسية.,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23)
conv_1002,1,user,ما الإطار العام والرؤية والرسالة؟,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23)
conv_1002,2,assistant,الإطار العام: نبني المستقبل. الرؤية: مجتمع فلسطيني مبدع قادر على إنتاج المعرفة العلمية الأصيلة وتوظيفها في التنمية المستدامة. الرسالة: تطوير كفايات الشباب الفلسطيني العلمية والتكنولوجية والريادية والهندسية وإنشاء فرص اقتصادية واجتماعية واعدة عبر برامج متخصصة ملهمة.,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23)
conv_1003,0,system,أنت مساعد موارد بشرية.,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29)
conv_1003,1,user,اذكر مبادئ العمل للموظف الناجح؟,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29)
conv_1003,2,assistant,1) الرشاقة والمرونة، 2) التعلم المستمر، 3) التفكير الجيد، 4) المبادرة واتخاذ القرار ضمن الصلاحيات، 5) لا تُعلّم من لا يريد، 6) الاعتماد على النفس، 7) التعلم من خبرات الآخرين وعدم اختراع العجل، 8) تعزيز المسؤولية الفردية، 9) الإبداع وعدم التقليد مع توثيق العمل، 10) صناعة الفرق.,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29)
conv_1004,0,system,أنت مساعد موارد بشرية.,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27)
conv_1004,1,user,ما أخلاقيات العمل المعتمدة؟,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27)
conv_1004,2,assistant,الأمانة والصدق، الشفافية والنزاهة، التواضع، الشراكة بالمساواة، الاحترام وعدم الاستغلال، الولاء والثقة، الشغف، الإصرار.,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27)
conv_1005,0,system,أنت مساعد موارد بشرية.,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28)
conv_1005,1,user,ما مفاتيح النجاح للاستمرار والتقدم؟,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28)
conv_1005,2,assistant,أن تكون: مهنيًا جدًا، مبادرًا جدًا، باحثًا أصيلاً، وتعتمد العلم لا أنصاف المعلومات والفرضيات غير المدروسة.,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28)
conv_1006,0,system,أنت مساعد موارد بشرية.,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29)
conv_1006,1,user,ما الآلية المقترحة لتسهيل العمل داخل المؤسسة؟,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29)
conv_1006,2,assistant,مراجعة المواد قبل إرسالها، عدم الادعاء بغير المعرفة، اعتماد الشفافية بإرسال نسخ للمعنيين والمدير المباشر، والاستشارة فيما لست خبيرًا به أو تقوم به لأول مرة.,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29)
conv_1007,0,system,أنت مساعد موارد بشرية.,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31)
conv_1007,1,user,ما هدف قسم شؤون الموظفين وما سياساته العامة؟,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31)
conv_1007,2,assistant,الهدف: عرض السياسات والإجراءات المتعلقة بالتوظيف والدوام والرواتب والتقييم والترقيات وإنهاء الخدمات. السياسات: الموظفون أهم موجودات المؤسسة؛ بيئة مهنية؛ اعتماد الكفاءة والمؤهلات دون تمييز؛ الالتزام بقانون العمل الفلسطيني؛ توظيف ذوي الإعاقة قدر الإمكان؛ سلم رواتب معتدل؛ تقييم دوري للأداء.,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31)
conv_1008,0,system,أنت مسؤول توظيف.,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31)
conv_1008,1,user,كيف تُعرّف عملية التوظيف والاختيار؟,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31)
conv_1008,2,assistant,هي البحث واختيار الأكثر تأهلاً لشغل المنصب أو تنفيذ المهمة المطلوبة.,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31)
conv_1009,0,system,أنت مسؤول موارد بشرية.,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32)
conv_1009,1,user,ما محتويات قائمة المرجعية للوظيفة؟,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32)
conv_1009,2,assistant,المسمى والدرجة الوظيفية، الراتب الشهري المتوافق مع سلم الرواتب، مدة العقد/العمل، وصف موجز، وقائمة مفصلة بالمهام والمسؤوليات.,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32)
conv_1010,0,system,أنت مسؤول توظيف.,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33)
conv_1010,1,user,ما معايير الاختيار؟,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33)
conv_1010,2,assistant,مزيج من المؤهلات العلمية والمهارات والخبرات والصفات الشخصية التي تثبت قدرة المرشح على أداء الوظيفة.,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33)
conv_1011,0,system,أنت مسؤول توظيف.,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35)
conv_1011,1,user,أين وكيف يتم الإعلان عن الوظائف؟,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35)
conv_1011,2,assistant,على أوسع نطاق: مواقع التوظيف، جريدة القدس، موقع المؤسسة، وسائل التواصل الاجتماعي. يجب موافقة الرئيس التنفيذي مسبقًا على كل إعلان.,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35)
conv_1012,0,system,أنت مساعد توظيف.,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36)
conv_1012,1,user,من تتكون لجنة المقابلات؟,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36)
conv_1012,2,assistant,من ثلاثة موظفين على الأقل: مسؤول الموارد البشرية، المسؤول المباشر، وأي عضو يكلّفه الرئيس التنفيذي.,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36)
conv_1013,0,system,أنت مساعد توظيف.,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37)
conv_1013,1,user,ما خطوات فرز المرشحين والاختبارات؟,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37)
conv_1013,2,assistant,فرز السير ذاتيًا، ثم دعوة المؤهلين لامتحان كتابي لفحص القدرات، ثم مقابلة أولية بحسب النتائج، ثم اختيار أفضل ثلاثة لمقابلة ثانية مع الرئيس التنفيذي.,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37)
conv_1014,0,system,أنت مسؤول موارد بشرية.,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38)
conv_1014,1,user,كيف يتم التحقق من المعرفين؟,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38)
conv_1014,2,assistant,بتعبئة نموذج التحقق المعتمد والحصول على أسماء وبيانات اتصال المعرفين بإذن المرشح.,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38)
conv_1015,0,system,أنت مساعد توظيف.,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38)
conv_1015,1,user,كيف تُستكمل الموافقات النهائية؟,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38)
conv_1015,2,assistant,يُعد مسؤول الموارد البشرية تقرير لجنة التوظيف بنتائج وآلية الاختيار ثم يُحال للجنة والرئيس التنفيذي للموافقة النهائية.,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38)
conv_1016,0,system,أنت مساعد توظيف.,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39)
conv_1016,1,user,ما الامتحانات المستخدمة؟,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39)
conv_1016,2,assistant,امتحان كتابي لتقييم المعرفة والمهارات والخبرة. وللوظائف العليا فقط: امتحان شخصية Insight Discovery للتأكد من الملاءمة.,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39)
conv_1017,0,system,أنت مساعد توظيف.,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40)
conv_1017,1,user,ما خطوات طلب إجراء تعاقد؟,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40)
conv_1017,2,assistant,يقدّم المسؤول المباشر الطلب محددًا المهام، الدوام، الراتب، والشروط. بعد مصادقة الرئيس التنفيذي يُرسل عرض العمل ثم يُحضّر عقد العمل.,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40)
conv_1018,0,system,أنت مساعد قانوني.,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43)
conv_1018,1,user,ما أنواع عقود العمل وفترة التجربة؟,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43)
conv_1018,2,assistant,تبدأ بفترة تجربة ثلاثة أشهر (لا تُكرر). الأنواع: عقد مؤقت محدد المدة (حتى 12 شهرًا، والتجديد لا يتجاوز سنتين متتاليتين)، وعقد دائم بعد عامين، وعقود توريد خدمات للمستشارين والخبراء.,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43)
conv_1019,0,system,أنت مساعد موارد بشرية.,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44)
conv_1019,1,user,ما المهام الإدارية عند تعيين موظف جديد؟,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44)
conv_1019,2,assistant,استكمال ملف الموظف والتواقيع والتحديثات الدورية، وتزويد الموظف والمالية بنسخ من الكتب الرسمية الصادرة له.,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44)
conv_1020,0,system,أنت مسؤول ملفات.,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46)
conv_1020,1,user,ما الوثائق المطلوبة لملف الموظف؟,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46)
conv_1020,2,assistant,صورة شخصية، طلب عمل، نتيجة الامتحان الكتابي، نتيجة امتحان الشخصية (للعليا)، سيرة ذاتية، تقرير لجنة التوظيف، هوية/جواز، نموذج الحفاظ على السرية/NDA، عقد العمل والوصف الوظيفي، الشهادات العلمية والعملية، تقييم الأداء، كتب وأوامر التكليف، معلومات الحساب البنكي، تفويضات، مخالصات وبراءة ذمة، وكتب رسمية.,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46)
conv_1021,0,system,أنت مساعد نظم.,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47)
conv_1021,1,user,ما الذي يُوفَّر للموظف لبدء العمل؟,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47)
conv_1021,2,assistant,بريد إلكتروني، صلاحيات على الخادم، حساب على النظام المالي والإداري، وعهدة (حاسوب وبطاقة موظف) مع توقيع نموذج الاستلام.,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47)
conv_1022,0,system,أنت مساعد قانوني.,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47)
conv_1022,1,user,ما المقصود بإنهاء الخدمة؟,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47)
conv_1022,2,assistant,هو قطع نهائي وغير قابل للإلغاء لعلاقة العمل، وفق الحالات التي نص عليها القانون أو السياسة.,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47)
conv_1023,0,system,أنت مساعد قانوني.,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49)
conv_1023,1,user,ما إجراءات الاستقالة ومكافأة نهاية الخدمة؟,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49)
conv_1023,2,assistant,تُقدَّم استقالة خطية قبل شهر. تُصرف مكافأة نهاية الخدمة وبدل الإجازات وفق قانون العمل: ثلث أجر عن كل سنة (1–5 سنوات)، ثلثي أجر (5–10)، وأجر شهر عن كل سنة (10+). تحتسب على آخر أجر أساسي دون الإضافي.,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49)
conv_1024,0,system,أنت مساعد قانوني.,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51)
conv_1024,1,user,كيف تُدار إجراءات إنهاء العقد؟,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51)
conv_1024,2,assistant,يتولى الموارد البشرية الإجراءات، ويُتوقع إشعار خطي قبل شهر. عند إنهاء المؤسسة للعقد بعد استنفاد وسائل الإصلاح يُبلغ الموظف بكتاب فصل موقّع من الرئيس التنفيذي قبل شهر وتصرف مكافأة نهاية الخدمة (أجر شهر/سنة).,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51)
conv_1025,0,system,أنت مساعد قانوني.,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53)
conv_1025,1,user,متى تُنهى الخدمات لأسباب غير متوقعة؟,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53)
conv_1025,2,assistant,عند إعادة الهيكلة، حل المؤسسة لأسباب سياسية/اقتصادية، أو لأسباب مالية. تمنح المؤسسة إشعارًا 30 يومًا أو بدل إشعار، وتُعاد الممتلكات فورًا وتُصرف المستحقات خلال 30 يومًا.,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53)
conv_1026,0,system,أنت مساعد مشاريع.,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54)
conv_1026,1,user,ما وضع عقود المحدد المدة عند انتهاء المشروع؟,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54)
