conversation_id,turn_index,role,content,tags,source_section,content_normalized
conv_1000,0,system,أنت مساعد إداري مؤسسي يقتبس السياسات حرفيًا عند الحاجة ويجيب بإيجاز رسمي.,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21),انت مساعد اداري مءسسي يقتبس السياسات حرفيا عند الحاجة ويجيب بايجاز رسمي.
conv_1000,1,user,ما الغرض من الدليل الإداري والمالي لمؤسسة النيزك؟,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21),ما الغرض من الدليل الاداري والمالي لمءسسة النيزك؟
conv_1000,2,assistant,يهدف إلى تزويد المؤسسة بمرجع تفصيلي للسياسات والإجراءات الإدارية والموارد البشرية، ويُستخدم كمرجعية يُرجع إليها عند الحاجة بعد إقراره من المؤسسة ومصادقة وزارة العمل وإعلام العاملين به. يتضمن إجراءات عامة ومتطلبات لضمان فاعلية السياسات، مع تفصيل الإجراءات والمسؤوليات لكل نشاط.,تعريف_الدليل,الباب الأول > 1. الغرض من الدليل (ص20–21),يهدف الي تزويد المءسسة بمرجع تفصيلي للسياسات والاجراءات الادارية والموارد البشرية، ويستخدم كمرجعية يرجع اليها عند الحاجة بعد اقراره من المءسسة ومصادقة وزارة العمل واعلام العاملين به. يتضمن اجراءات عامة ومتطلبات لضمان فاعلية السياسات، مع تفصيل الاجراءات والمسءوليات لكل نشاط.
conv_1001,0,system,أنت مساعد امتثال يعرض النقاط الأساسية بوضوح.,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22),انت مساعد امتثال يعرض النقاط الاساسية بوضوح.
conv_1001,1,user,ما أبرز السياسات العامة للمؤسسة؟,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22),ما ابرز السياسات العامة للمءسسة؟
conv_1001,2,assistant,المؤسسة غير هادفة للربح، غير حزبية وغير فئوية، ولا توزع أرباحًا. خدماتها لا تهدف لتحقيق مكاسب مادية، ولا توجد مصالح مادية خاصة للمؤسسين أو المسؤولين.,سياسات_عامة,الباب الأول > 2. السياسات العامة (ص22),المءسسة غير هادفة للربح، غير حزبية وغير فءوية، ولا توزع ارباحا. خدماتها لا تهدف لتحقيق مكاسب مادية، ولا توجد مصالح مادية خاصة للمءسسين او المسءولين.
conv_1002,0,system,أنت مساعد اتصالات مؤسسية.,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23),انت مساعد اتصالات مءسسية.
conv_1002,1,user,ما الإطار العام والرؤية والرسالة؟,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23),ما الاطار العام والرءية والرسالة؟
conv_1002,2,assistant,الإطار العام: نبني المستقبل. الرؤية: مجتمع فلسطيني مبدع قادر على إنتاج المعرفة العلمية الأصيلة وتوظيفها في التنمية المستدامة. الرسالة: تطوير كفايات الشباب الفلسطيني العلمية والتكنولوجية والريادية والهندسية وإنشاء فرص اقتصادية واجتماعية واعدة عبر برامج متخصصة ملهمة.,هوية_مؤسسية,الباب الأول > الأهداف والرؤية والرسالة (ص22–23),الاطار العام: نبني المستقبل. الرءية: مجتمع فلسطيني مبدع قادر علي انتاج المعرفة العلمية الاصيلة وتوظيفها في التنمية المستدامة. الرسالة: تطوير كفايات الشباب الفلسطيني العلمية والتكنولوجية والريادية والهندسية وانشاء فرص اقتصادية واجتماعية واعدة عبر برامج متخصصة ملهمة.
conv_1003,0,system,أنت مساعد موارد بشرية.,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29),انت مساعد موارد بشرية.
conv_1003,1,user,اذكر مبادئ العمل للموظف الناجح؟,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29),اذكر مبادء العمل للموظف الناجح؟
conv_1003,2,assistant,1) الرشاقة والمرونة، 2) التعلم المستمر، 3) التفكير الجيد، 4) المبادرة واتخاذ القرار ضمن الصلاحيات، 5) لا تُعلّم من لا يريد، 6) الاعتماد على النفس، 7) التعلم من خبرات الآخرين وعدم اختراع العجل، 8) تعزيز المسؤولية الفردية، 9) الإبداع وعدم التقليد مع توثيق العمل، 10) صناعة الفرق.,مبادئ_العمل,الباب الأول > مبادئ وأخلاقيات العمل (ص23–29),1) الرشاقة والمرونة، 2) التعلم المستمر، 3) التفكير الجيد، 4) المبادرة واتخاذ القرار ضمن الصلاحيات، 5) لا تعلم من لا يريد، 6) الاعتماد علي النفس، 7) التعلم من خبرات الاخرين وعدم اختراع العجل، 8) تعزيز المسءولية الفردية، 9) الابداع وعدم التقليد مع توثيق العمل، 10) صناعة الفرق.
